"brand","Frequency"
"ВАЗ",1337
"Toyota",1068
"Mitsubishi",656
"Honda",608
"Mazda",576
"Ford",295
"BMW",277
"Nissan",276
"Volkswagen",272
"Lexus",219
"Hyundai",205
"Audi",175
"Chevrolet",171
"Mercedes",161
"Suzuki",142
"Kia",133
"Subaru",109
"ГАЗ",104
"Renault",100
"Daewoo",95
"Dodge",95
"Infiniti",64
"Skoda",60
"УАЗ",58
"Yamaha",55
"Opel",50
"Volvo",49
"Land Rover",31
"Peugeot",31
"Chrysler",28
"SsangYong",26
"Jeep",23
"КАМАЗ",22
"Acura",20
"НИВА",20
"ЗАЗ",19
"Kawasaki",18
"Chery",16
"Huanghai",14
"Great Wall",13
"Citroen",12
"Fiat",12
"Freightliner",12
"Porsche",11
